Store_Name	Type	Address	City	State_province	Zip	Country_ISO3166_alpha2	Latitude	Longitude	Phone	URL	Accessibility	Public
International District Computer Lab	Government/Public Community Center	719 8th Ave S	Seattle		98104	US	47,5964882067	-122,3225283432	[+1] 206-233-0042	http://www.seattle.gov/parks/rectech/labs/international_district/	None	All Public
Oak Harbor Library	Library	1000 SE Regatta Dr	Oak Harbor		98277-3091	US	48,2905922185	-122,6357387672	[+1] 360-675-5115	http://www.sno-isle.org	Blind/LV, Wheelchair accessible	All Public
Twisp Community Library	Library	201 N Methow Valley Hwy	Twisp		98856	US	48,3661977719	-120,1224499158	[+1] 509-997-4681	http://www.ncrl.org/twisp.htm	Wheelchair accessible	All Public
Fairwood Library	Library	17009 140th Ave SE	Renton		98058-6928	US	47,4496807054	-122,1540633461	[+1] 425-226-0522	http://www.kcls.org/fairwood/	Blind/LV	All Public
Hillyard Library	Library	2111 W Wellesley Ave	Spokane		99205-5012	US	47,7006896135	-117,4419881547	[+1] 509-444-5381	http://www.spokanelibrary.org	Wheelchair accessible	All Public
Tenino Timberland Library	Library	172 Central Avenue W	Tenino		98589-4017	US	46,856739705	-122,8517214035	[+1] 360-264-2369	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Langley Library	Library	104 2nd St	Langley		98260-0365	US	48,0399417261	-122,4062512295	[+1] 360-221-4383	http://www.sno-isle.org	Wheelchair accessible	All Public
Muckleshoot Library	Library	39917 Auburn Enumclaw Rd SE	Auburn		98092	US	47,2439341078	-122,112930995	[+1] 253-931-6779	http://www.kcls.org/muckleshoot/	None	All Public
Kalispel Tribal Court	Justice Center	22 Camas Flat Road	Usk		99119	US	48,3136499997	-117,2807199996	[+1] 509-447-7139	http://www.kalispeltribe.com/tribal-court/	None	Limited Users
East Wenatchee Community Library	Library	271 9th St NE	East Wenatchee		98802-4438	US	47,4169273971	-120,2892291861	[+1] 509-886-7404	http://www.ncrl.org/eastwenatchee.htm	Wheelchair accessible	All Public
New Futures The Heights at Burien	Housing	13737 SW 12th AveBuilding 31	Burien		98166	US	47,4686200004	-122,3403599997	[+1] 206-241-4840	http://newfutures.org/our-programs/our-sites/the-heights-at-burien/	None	Limited Users
Snohomish Library	Library	311 Maple Ave	Snohomish		98290-2525	US	47,91548323	-122,0887172658	[+1] 360-568-2898	http://www.sno-isle.org	Wheelchair accessible	All Public
Milton Edgewood Library	Library	900 Meridian E.	Milton		98354	US	47,24723	-122,295602	[+1] 253-548-3325	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
High Point Branch	Library	3411 S.W. Raymond St.	Seattle		98126	US	47,5483003591	-122,3757821992	[+1] 206-684-7454	http://www.spl.org/locations/high-point-branch/hip-computers-and-equipment	Wheelchair accessible	All Public
Valley View Library	Library	17850 Military Rd S	SeaTac		98188-8698	US	47,4430167291	-122,2740239116	[+1] 206-242-6044	http://www.kcls.org/valleyview/	None	All Public
Shadle Library	Library	4005 N Cook St	Spokane		99207-5879	US	47,6936519694	-117,3736006992	[+1] 509-444-5391	http://www.spokanelibrary.org	Wheelchair accessible	All Public
Freeland Library	Library	5495 Harbor Ave	Freeland		98249-1357	US	48,0115311523	-122,5271190991	[+1] 360-331-7323	http://www.sno-isle.org	Wheelchair accessible	All Public
Yakima Central Library	Library	102 North 3rd Street	Yakima		98901	US	46,6043179978	-120,5038433952	[+1] 509-452-8541	http://www.yvl.org	Wheelchair accessible	All Public
Chehalis Timberland Library	Library	76 NE Park St	Chehalis		98532-0419	US	46,6642578111	-122,96788683	[+1] 360-748-3301	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Street Youth Ministries	Human Services/Non-profit (non-residential)Faith-based	4540 15th Ave NE	Seattle		98105	US	47,6620301409	-122,3118706425	[+1] 206-524-7301	http://www.streetyouthministries.org/	None	Limited Users
Tumwater Timberland Library	Library	7023 New Market St SW	Tumwater		98501-6563	US	46,9852058515	-122,9128874264	[+1] 360-943-7790	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Touchet Library	Library	161 Hanson Rd	Touchet		99361	US	46,0434108482	-118,6744155435	[+1] 509-394-2329	http://www.wwrurallibrary.com/branches/touchet	Wheelchair accessible	All Public
Newport Way Library	Library	14250 SE Newport Way	Bellevue		98006	US	47,5699830132	-122,148469563	[+1] 425-747-2390	http://www.kcls.org/newportway/	Blind/LV	All Public
Delridge Neighborhood Service Center	Government/Public Community Center	5405 Delridge Way S.W.	Seattle		98106	US	47,553644485	-122,3630768698	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/delridge.htm	None	All Public
Ritzville Public Library	Library	302 W Main Ave	Ritzville		99169-1412	US	47,1262233032	-118,3816888612	[+1] 509-659-1222	http://www.ritzcom.net/ritzlib	None	All Public
Rainier Computer Lab	Government/Public Community Center	4600 38th Ave S	Seattle		98118	US	47,5617415445	-122,2848419177	[+1] 206-386-1919	http://www.seattle.gov/parks/rectech/labs/rainier/	None	All Public
Hoodsport Timberland Library	Library	40 N Schoolhouse Hill Rd	Hoodsport		98548-0847	US	47,4051103056	-123,1418516834	[+1] 360-877-9339	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Southeast Yakima Library	Library	1211 S 7th St	Yakima		98901-3509	US	46,5878604047	-120,4927187817	[+1] 509-576-0723	http://www.yvl.org	Wheelchair accessible	All Public
East Side Library	Library	4904 W Barnes Rd	Spokane		99208-9155	US	47,7408901717	-117,4824811056	[+1] 509-444-5376	http://www.spokanelibrary.org	Wheelchair accessible	All Public
North Spokane Library	Library	44 E Hawthorne Rd	Spokane		99218-1597	US	47,7511608949	-117,4097241778	[+1] 509-893-8350	http://www.scld.org	Blind/LV, Wheelchair accessible	All Public
Roslyn Public Library	Library	109 S. First Street	Roslyn		98941	US	47,2221792116	-120,9925619656	[+1] 509-649-3420	http://www.roslynlibrary.org/	Wheelchair accessible	All Public
Okanogan Community Library	Library	228 Pine Street	Okanogan		98840	US	48,364095789	-119,5808999981	[+1] 509-422-2609	http://www.ncrl.org/okanogan.htm	Wheelchair accessible	All Public
Stanwood Library	Library	9701 271st St NW	Stanwood		98292-8097	US	48,2421183115	-122,3638302094	[+1] 360-629-3132	http://www.sno-isle.org	Wheelchair accessible	All Public
Horn of Africa Services	Human Services/Non-profit (non-residential)	4714 Rainier Avenue SouthSuite 105	Seattle		98118	US	47,5601887429	-122,2864614218	[+1] 206-760-0550	http://hoas.org/	None	All Public
Selah Library	Library	106 South Second Street	Yakima		98942	US	46,6011686898	-120,5040364131	[+1] 509-698-7345	http://www.yvl.org	Wheelchair accessible	All Public
Southeast Neighborhood Service Center	Government/Public Community Center	3815 S Othello St. Suite 105	Seattle		98118	US	47,5369785117	-122,2844582952	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/southeast.htm	None	All Public
Broadview Branch	Library	12755 Greenwood Ave. N.	Seattle		98133	US	47,7229127243	-122,3556104061	[+1] 206-684-7519	http://www.spl.org/locations/broadview-branch/bro-computers-and-equipment	Wheelchair accessible	All Public
Richland Public Library	Library	955 Northgate Dr	Richland		99352-3539	US	46,2797706639	-119,2780674693	[+1] 509-943-7450	http://www.richland.lib.wa.us	Wheelchair accessible	All Public
University Neighborhood Service Center	Government/Public Community Center	4534 University Way NE	Seattle		98105	US	47,6623703653	-122,3130454944	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/university.htm	None	All Public
Jefferson Terrace Computer Lab	Housing	800 Jefferson Street	Seattle		98104-2401	US	47,604519	-122,325182	[+1] 206-382-0763	http://www.seattlehousing.org/housing/public/locations/jefferson-terrace/	Blind/LV, Wheelchair accessible	Limited Users
Kenmore Library	Library	6531 NE 181 St	Kenmore		98028-2703	US	47,7595421106	-122,252323271	[+1] 425-486-8747	http://www.kcls.org/kenmore/	None	All Public
Packwood Timberland Library	Library	109 W. Main Street	Packwood		98361-0589	US	46,6101900001	-121,6693899998	[+1] 360-494-5111	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Maple Valley Library	Library	21844 SE 248th St	Maple Valley		98083-8582	US	47,3796415057	-122,0490495127	[+1] 425-432-4620	http://www.kcls.org/maplevalley/	Blind/LV	All Public
New Futures Windsor Heights	Housing	17229 32nd Ave SCommunity Center	SeaTac		98188	US	47,4340600003	-122,2742600002	[+1] 206-901-0180	http://newfutures.org/our-programs/our-sites/windsor-heights/	None	Limited Users
Fife Library	Library	6622 20th St. E	Fife		98424	US	47,2389695539	-122,3411493078	[+1] 253-548-3323	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Lake Forest Park Library	Library	17171 Bothell Way NE	Lake Forest Park		98155-5534	US	47,7525903513	-122,2789252166	[+1] 206-362-8860	http://www.kcls.org/lakeforestpark/	None	All Public
DuPont Library	Library	1450 Wilminton Dr	DuPont		98237-8771	US	47,0904687465	-122,6422097677	[+1] 253-548-3326	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Redmond Library	Library	15990 NE 85th St	Redmond		98052-3531	US	47,6785761483	-122,1296017869	[+1] 425-885-1861	http://www.kcls.org/redmond/	Blind/LV	All Public
Mattawa Community Library	Library	101 Manson Lane	Mattawa		99349	US	46,7377700001	-119,9000000004	[+1] 509-932-5507	http://www.ncrl.org/mattawa.htm	Wheelchair accessible	All Public
Federal Way 320th Library	Library	848 S 320th St	Federal Way		98003-5346	US	47,3151870959	-122,3214271757	[+1] 253-839-0257	http://www.kcls.org/320th/	Blind/LV	All Public
Longview Public Library	Library	1600 Louisiana St	Longview		98632-2993	US	46,1402048782	-122,9381462505	[+1] 360-442-5300	http://www.longviewlibrary.org/	Wheelchair accessible	All Public
University Place Library	Library	3609 Market Place W.	Pierce		98375	US	47,225832	-122,536231	[+1] 253-548-3307	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Aberdeen Timberland Library	Library	121 E Market St	Aberdeen		98520-5292	US	46,9755851112	-123,8177011816	[+1] 360-533-2360	http://www.trl.org/Locations/Pages/Locations.aspx	Wheelchair accessible	All Public
Wenatchee Community Library	Library	310 Douglas St	Wenatchee		98801-2864	US	47,4233035903	-120,3143922165	[+1] 509-662-5021	http://www.ncrl.org/wenatchee.htm	Wheelchair accessible	All Public
Federal Way Library	Library	34200 1st Way S	Federal Way		98003-6508	US	47,2948264451	-122,3325248096	[+1] 253-838-3668	http://www.kcls.org/federalway/	Blind/LV	All Public
Montesano Timberland Library	Library	121 South 4th Street	Montesano		98563-3794	US	46,9809076587	-123,6054246278	[+1] 360-249-4211	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Lynden Public Library	Library	216 4th St	Lynden		98264-1980	US	48,9443064895	-122,4525525475	[+1] 360-354-4883	http://www.wcls.org	None	All Public
Northeast Branch	Library	6801 35th Ave. N.E.	Seattle		98115	US	47,6778566906	-122,2903825793	[+1] 206-684-7539	http://www.spl.org/locations/northeast-branch/net-computers-and-equipment	Wheelchair accessible	All Public
Airway Heights Library	Library	1213 S. Lundstrom St	Airway Heights		99001	US	47,6444918434	-117,5930797287	[+1] 509-893-8250	http://www.scld.org	Wheelchair accessible	All Public
White Center Library	Library	11220 16th Ave Sw	Seattle		98146-3579	US	47,5018863492	-122,3551517518	[+1] 206-243-0233	http://www.kcls.org/whitecenter/	None	All Public
Chinese Information and Service Center	Human Services/Non-profit (non-residential)	611 S Lane St	Seattle		98104	US	47,5966070509	-122,3256335939	[+1] 206-624-5633	http://www.cisc-seattle.org/	Blind/LV, None, Wheelchair accessible	All Public
Central Neighborhood Service Center	Government/Public Community Center	2301 S. Jackson St	Seattle		98144	US	47,598465	-122,301416	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/central.htm	None	All Public
Jack Straw Productions	Human Services/Non-profit (non-residential)	4261 Roosevelt Way NE	Seattle		98105-6999	US	47,6593036772	-122,3178119012	[+1] 206-634-0919	http://www.jackstraw.org	Blind/LV	Limited Users
Mountlake Terrace Library	Library	23300 58th Ave W	Mountlake Terrace		98043-4630	US	47,7874590894	-122,3111860088	[+1] 425-776-8722	http://www.sno-isle.org	Wheelchair accessible	All Public
Skykomish Library	Library	100 5th St	Skykomish		98288	US	47,7086683378	-121,3607849607	[+1] 360-677-2660	http://www.kcls.org/skykomish/	None	All Public
Winthrop Community Library	Library	49 Highway 20	Winthrop		98862	US	48,4737300002	-120,1775600001	[+1] 509-996-2685	http://www.ncrl.org/Winthrop.htm	Wheelchair accessible	All Public
Kingsgate Library	Library	12315 NE 143rd St	Kirkland		98034-1415	US	47,7300083751	-122,1763215663	[+1] 425-821-7686	http://www.kcls.org/kingsgate/	Blind/LV	All Public
Naselle Timberland Library	Library	4 Parpala Road	Naselle		98638-0190	US	46,3658088024	-123,8121613579	[+1] 360-484-3877	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Ephrata Community Library	Library	45 Alder St NW	Ephrata		98823	US	47,3207869999	-119,5498409846	[+1] 509-754-3971	http://www.ncrl.org/Ephrata.htm	Wheelchair accessible	All Public
Olympia Timberland Library	Library	313 8th Ave SE	Olympia		98501-1307	US	47,04171226	-122,8980544745	[+1] 360-352-0595	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Magnolia Branch	Faith-based	2801 34th Ave. W.	Seattle		98199	US	47,6451483484	-122,4010351618	[+1] 206-386-4225	http://www.spl.org/locations/magnolia-branch/mag-computers-and-equipment	Wheelchair accessible	All Public
Prescott Library	Library	103 S D Street	Prescott		99348	US	46,299411857	-118,3147586776	[+1] 509-849-2411	http://www.wwrurallibrary.com/branches/prescott	Wheelchair accessible	All Public
Raymond Timberland Library	Library	507 Duryea St	Raymond		98577-1829	US	46,6866427999	-123,7308279657	[+1] 360-942-2408	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Plaza Library	Library	1640 Plaza Way	Walla Walla		99362	US	46,0481799969	-118,3461070095	[+1] 509-525-5161	http://www.wwrurallibrary.com/branches/plaza	Wheelchair accessible	All Public
Orting Library	Library	202 Washington Ave S	Orting		98360	US	47,0967867411	-122,2025278102	[+1] 253-548-3312	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Port Townsend Public Library	Library	1220 Lawrence St	Port Townsend		98368-6527	US	48,1165145726	-122,7629597606	[+1] 360-385-3181	http://ptpubliclibrary.org/	Wheelchair accessible	All Public
Brier Library	Library	23303 Brier Rd	Brier		98036-8247	US	47,7870253918	-122,2742397488	[+1] 425-483-0888	http://www.sno-isle.org	Wheelchair accessible	All Public
Vista Hermosa Library	Library	76 Sara Lynne Ln	Prescott		99348	US	46,3116807112	-118,71992913	[+1] 509-749-2099	http://www.wwrurallibrary.com/branches/vistahermosa	Wheelchair accessible	All Public
Downtown Spokane Library	Library	906 W Main Ave	Spokane		99201-0976	US	47,6590338806	-117,4253022109	[+1] 509-444-5334	http://www.spokanelibrary.org	Wheelchair accessible	All Public
Burbank Library	Library	875 Lake Rd	Burbank		99323-9596	US	46,2095785795	-118,9923258809	[+1] 509-545-6549	http://www.wwrurallibrary.com/branches/burbank	Wheelchair accessible	All Public
Clallam Bay Library	Library	16990 Hwy 12	Clallam Bay		98326	US	48,2537100001	-124,2601500002	[+1] 360-963-2414	http://www.nols.org	Wheelchair accessible	All Public
Ellensburg Public Library	Library	209 N Ruby St	Ellensburg		98926-3338	US	46,9943449687	-120,5445017441	[+1] 509-962-7250	http://www.ellensburglibrary.org	Wheelchair accessible	All Public
Union Gap Library	Library	3104 1st St	Union Gap		98903-1817	US	46,5571771264	-120,4766119367	[+1] 509-452-4252	http://www.yvl.org	Wheelchair accessible	All Public
Oakville Timberland Library	Library	204 Main Street	Oakville		98568-0079	US	46,8399023161	-123,2328081564	[+1] 360-273-5305	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Pateros Community Library	Library	174 Pateros Mall	Pateros		98846	US	48,0523617932	-119,9020640373	[+1] 509-923-2298	http://www.ncrl.org/pateros.htm	Wheelchair accessible	All Public
Southcenter Library Connection	Library	633 Southcenter Mall	Tukwila		98188-2816	US	47,4606376163	-122,2602023302	[+1] 206-242-6044	http://www.kcls.org/southcenter/	Blind/LV	All Public
Duvall Library	Library	15619 NE Main St	Duvall		98019-0339	US	47,7404799999	-121,9861400001	[+1] 425-788-1173	http://www.kcls.org/duvall/	Blind/LV	All Public
Barkley Library	Library	3111 Newmarket St. Suite 103	Bellingham		98226	US	48,7719358986	-122,443582087	[+1] 360-778-7325	http://www.bellinghampubliclibrary.org	Wheelchair accessible	All Public
Greenwood Branch	Library	8016 Greenwood Ave. N.	Seattle		98103	US	47,6873265516	-122,3552776569	[+1] 206-684-4086	http://www.spl.org/locations/greenwood-branch/gwd-computers-and-equipment	Wheelchair accessible	All Public
Mercer Island Library	Library	4400 88th Ave SE	Mercer Island		98040	US	47,5672397246	-122,221520538	[+1] 206-236-3537	http://www.kcls.org/mercerisland/	Blind/LV	All Public
Asotin County Library	Library	417 Sycamore St	Clarkston		99403-2666	US	46,4126446303	-117,0431447813	[+1] 509-758-5454	http://www.aclib.org/	None	All Public
Bothell Library	Library	18215 98th Ave NE	Bothell		98011-3336	US	47,7604504258	-122,2097133932	[+1] 425-486-7811	http://www.kcls.org/bothell/	Blind/LV	All Public
Sumner Library	Library	1116 Fryar Ave	Sumner		98498-2235	US	47,2044211265	-122,2438551373	[+1] 253-548-3306	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Columbia Branch	Library	21 Rainier Ave. S.	Seattle		98118	US	47,6035599999	-122,3294399998	[+1] 206-386-1908	http://www.spl.org/locations/columbia-branch/col-computers-and-equipment	Blind/LV, Wheelchair accessible	All Public
Moran Prairie Library	Library	6004 S Regal St	Spokane		99223-6946	US	47,5994448029	-117,3685909638	[+1] 509-893-8340	http://www.scld.org	Wheelchair accessible	All Public
Liberty Lake Municipal Library	Library	23123 E. Mission Avenue	Liberty Lake		99019	US	47,6713464626	-117,0956645117	[+1] 509-232-2510	http://www.libertylakewa.gov/library/	Wheelchair accessible	All Public
Multimedia Resources and Training Institute	Human Services/Non-profit (non-residential)K-12 Education	2301 S Jackson Street Suite 103	Seattle		98144	US	47,5992281022	-122,3022331255	[+1] 206-838-6359	http://mmrtiseattle.org/	None	Limited Users
Blaine Public Library	Library	610 3rd St	Blaine		98230-4022	US	48,9947159517	-122,7497472786	[+1] 360-332-8146	http://www.wcls.org	None	All Public
Republic Community Library	Library	794 S Clark Ave	Republic		99166	US	48,6457910987	-118,7376379701	[+1] 509-775-3328	http://www.ncrl.org/republic.htm	Wheelchair accessible	All Public
Ocean Shores Public Library	Library	573 Point Brown Ave NW	Ocean Shores		98569	US	47,0012650033	-124,1607997533	[+1] 360-289-3919	http://oslibrary.info/	Wheelchair accessible	All Public
Westport Timberland Library	Library	101 E. Harms Drive	Westport		98595-1410	US	46,8907800001	-124,1042399996	[+1] 360-268-0521	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
South Park Computer Lab	Government/Public Community Center	8319 8th Ave S	Seattle		98108	US	47,5288340427	-122,3229509194	[+1] 206-615-0981	http://www.seattle.gov/parks/rectech/labs/south_park/	None	All Public
Fairfield Library	Library	305 E Main	Fairfield		99012	US	47,3853140358	-117,1704280777	[+1] 509-893-8320	http://www.scld.org	Wheelchair accessible	All Public
Otis Orchards Library	Library	22324 E Wellesley Ave	Otis Orchards		99027-9336	US	47,7003127617	-117,1057910804	[+1] 509-893-8390	http://www.scld.org	Wheelchair accessible	All Public
Gig Harbor Library	Library	4424 Point Fosdick Dr NW	Gig Harbor		98335-1700	US	47,2989633265	-122,5793347473	[+1] 253-548-3305	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Douglass-Truth Branch	Library	2300 E. Yesler Way	Seattle		98122	US	47,6016841148	-122,3017859826	[+1] 206-684-4704	http://www.spl.org/locations/douglass-truth-branch/dth-computers-and-equipment	Wheelchair accessible	All Public
Grand Coulee Community Library	Library	225 Federal St	Grand Coulee		99133	US	47,9393730351	-119,0026620576	[+1] 509-633-0972	http://www.ncrl.org/grandcoulee.htm	Wheelchair accessible	All Public
Ilwaco Timberland Library	Library	158 1st Ave N	Ilwaco		98624-0520	US	46,3110251182	-124,0433003871	[+1] 360-642-3908	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Oroville Community Library	Library	1276 Main St	Oroville		Oroville	US	48,9371647453	-119,4369362416	[+1] 509-476-2662	http://www.ncrl.org/oroville.htm	Wheelchair accessible	All Public
Orcas Island Library District	Library	500 Rose St	Eastsound		98245-9453	US	48,6972292176	-122,9040979185	[+1] 360-376-5750	http://www.orcaslibrary.org	Wheelchair accessible	All Public
Ballard Neighborhood Service Center	Government/Public Community Center	5604 22nd Ave NW	Seattle		98107	US	47,6694972171	-122,3846760214	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/ballard.htm	None	All Public
Island Public Library	Library	2144 S Nugent Rd	Lummi Island		98262	US	48,7195503904	-122,6827927535	[+1] 360-758-7145	http://www.wcls.org	None	All Public
Foster Library	Library	4060 S144th	Seattle		98178-0039	US	47,6035599999	-122,3294399998	[+1] 206-242-1640	http://www.kcls.org/foster/	Blind/LV	All Public
Greenbridge Library	Library	9720 8th Ave SW	Seattle		98106	US	47,5159157728	-122,3452682027	[+1] 206-762-1682	http://www.kcls.org/greenbridge/	None	All Public
Wallingford Branch	Library	1501 N. 45th St.	Seattle		98103	US	47,6613541314	-122,3389279824	[+1] 206-684-4088	http://www.spl.org/locations/wallingford-branch/wal-computers-and-equipment	Wheelchair accessible	All Public
Yesler Computer Lab	Government/Public Community Center	917 E Yesler Way Seattle	Seattle		98122	US	47,6016751215	-122,3200871859	[+1] 206-615-1579	http://www.seattle.gov/parks/rectech/labs/yesler/	None	All Public
Hoquiam Timberland Library	Library	420 7th St	Hoquiam		98550-3616	US	46,9770689925	-123,8866342152	[+1] 360-532-1710	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Sammamish Library	Library	825 228th Ave NE	Redmond		98074-6501	US	47,6785599997	-122,1309899997	[+1] 425-836-8793	http://www.kcls.org/sammamish/	Blind/LV	All Public
Coupeville Library	Library	788 NW Alexander	Coupeville		98239-0745	US	48,2185700002	-122,6855799998	[+1] 360-678-4911	http://www.sno-isle.org	Wheelchair accessible	All Public
Bridgeport Community Library	Library	1206 Columbia St	Bridgeport		98813	US	48,009631712	-119,6741293178	[+1] 509-686-7281	http://www.ncrl.org/bridgeport.htm	Wheelchair accessible	All Public
Eatonville Library	Library	205 Center St	Eatonville		98328-0069	US	46,8664970498	-122,2646776324	[+1] 253-548-3311	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Edmonds Library	Library	650 Main St	Edmonds		98020-3097	US	47,8104608604	-122,3730808402	[+1] 425-771-1933	http://www.sno-isle.org	Wheelchair accessible	All Public
Green Lake Branch	Library	7364 E. Green Lake Dr. N.	Seattle		98115	US	47,6815888771	-122,3273537079	[+1] 206-684-7547	http://www.spl.org/locations/green-lake-branch/glk-computers-and-equipment	Wheelchair accessible	All Public
Roy City Library	Library	122 3rd St	Roy		98580	US	47,0027985965	-122,5432675436	[+1] 253-843-2331	http://roylibrary.home.comcast.net/	None, Wheelchair accessible	All Public
Mukilteo Library	Library	4675 Harbour Pointe Blvd	Mukilteo		98275-4725	US	47,9049175166	-122,2962461589	[+1] 425-493-8202	http://www.sno-isle.org	Wheelchair accessible	All Public
Parkland Spanaway Library	Library	13718 Pacific Ave S	Tacoma		98444-4746	US	47,1321930494	-122,4347327582	[+1] 253-548-3304	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Naches Library	Library	303 Naches Ave	Naches		98937	US	46,7325793057	-120,7010197501	[+1] 509-653-2005	http://www.yvl.org	Wheelchair accessible	All Public
Tonasket Community Library	Library	209 A Whitcomb	Tonasket		98855	US	48,7085399998	-119,4368300001	[+1] 509-486-2366	http://www.ncrl.org/tonasket.htm	Wheelchair accessible	All Public
Bellingham Public Library	Library	210 Central Ave	Bellingham		98227-9710	US	48,7539134851	-122,4784937681	[+1] 360-778-7323	http://www.bellinghampubliclibrary.org	Wheelchair accessible	All Public
Entiat Community Library	Library	14138 Kinzel St	Entiat		98822	US	47,6769034093	-120,2093244238	[+1] 509-784-1517	http://www.ncrl.org/Entiat.htm	Wheelchair accessible	All Public
McCleary Timberland Library	Library	121 South 4th Street	McCleary		98557-0660	US	47,054815382	-123,266551676	[+1] 360-495-3368	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Kent Library	Library	212 2nd Ave N	Kent		98032-4482	US	47,3828520854	-122,2347325321	[+1] 253-859-3330	http://www.kcls.org/kent	Blind/LV	All Public
Special Technology Access Resource Center	Human Services/Non-profit (non-residential)Other	2600 South Walker Street	Seattle		98144	US	47,5836849102	-122,2992336815	[+1] 206-325-4284	http://www.starofseattle.org	Blind/LV, Deaf, Wheelchair accessible	All Public
Terrace Heights Library	Library	4011 Commonwealth Rd	Yakima		98901-1248	US	46,6070429436	-120,4464486633	[+1] 509-457-5319	http://www.yvl.org	Wheelchair accessible	All Public
Port Angeles Library	Library	2210 S Peabody St	Port Angeles		98362-6536	US	48,1060778681	-123,4383851361	[+1] 360-417-8500	http://www.nols.org	Wheelchair accessible	All Public
Shelton Timberland Library	Library	710 W Alder St	Shelton		98584-2571	US	47,2166753608	-123,1072727514	[+1] 360-426-1362	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Woodmont Library	Library	26809 Pacific Hwy S	Des Moines		98198-9255	US	47,3608906414	-122,3079013724	[+1] 253-839-0121	http://www.kcls.org/woodmont/	Blind/LV	All Public
Cheney Library	Library	610 1st St	Cheney		99004-1688	US	47,4883965187	-117,5741939661	[+1] 509-893-8280	http://www.scld.org	Blind/LV, Wheelchair accessible	All Public
Southwest Computer Lab	Government/Public Community Center	2801 SW Thistle St	Seattle		98126	US	47,5282634643	-122,368956345	[+1] 206-684-7438	http://www.seattle.gov/parks/rectech/labs/southwest/	None	All Public
Chelan County Law Library Computing Center	Justice Center	401 Washington St	Wenatchee		98807-0880	US	47,4225285268	-120,3167665234	[+1] 509-667-6210	http://www.co.chelan.wa.us/scj/scj_main.htm	None	Limited Users
Bellevue Library	Library	1111 110th Ave NE	Bellevue		98004-4515	US	47,6204889384	-122,1936874747	[+1] 425-450-1765	http://www.kcls.org/bellevue/	Blind/LV	All Public
Arlington Library	Library	135 N Washington Ave	Arlington		98223-1422	US	48,1934649897	-122,1187109971	[+1] 360-435-3033	http://www.sno-isle.org	Wheelchair accessible	All Public
North Mason Timberland Library	Library	23081 NE State Route 3	Belfair		98528-1179	US	47,4417217054	-122,8333662409	[+1] 360-275-3232	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Algona-Pacific Library	Library	255 Ellingson Dr	Pacific		98047-1526	US	47,2715362008	-122,2338430921	[+1] 253-833-3554	http://www.kcls.org/algonapacific/	Blind/LV	All Public
Mountain View Timberland Library	Library	210 Silverbrook Road	Randle		98377-0340	US	46,5357631038	-121,9594284732	[+1] 360-497-2665	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Waterville Community Library	Library	105 N Chelan St	Waterville		98858	US	47,6474131514	-120,0713602924	[+1] 509-745-8354	http://www.ncrl.org/waterville.htm	Wheelchair accessible	All Public
Granite Falls Library	Library	815 E Galena	Granite Falls		98252-0599	US	48,0821264691	-121,95854927	[+1] 360-691-6087	http://www.sno-isle.org	Wheelchair accessible	All Public
